전통주명,도수,규격,주원료,제조사
까메오 막걸리,6,550ml,"정제수, 쌀, 효모, 누룩, 과당 등",낙천
다랭이팜 유자 막걸리,6,750ml,"정제수, 유기농7분도쌀, 친환경유자원액, 혼합제과 누룩",농업회사법인 주식회사 다랭이팜
동백우리쌀생막걸리,6,750ml,"정제수, 쌀 소맥분 물엿, 곡자, 효모, 조제종국, 정제효소, 아스파탐,아세설팜칼륨",(주)동백양조
나루 생 막걸리 6도,6,935ml,"정제수, 쌀(국내산), 국, 효모(밀함유)",한강주조
호두땅콩막걸리,6,750ml,"물, 쌀(국내산), 고과당, 국(밀), 땅콩(국내산)",배혜정도가
아띠,6,450ml,쌀(국내산),배상면주가
장수 생막걸리,6,750ml,"백미(국내산), 말토올리고당, 홍삼분말",서울장수주식회사
대대포 막걸리,6,750ml,쌀,담양죽향도가
동정춘막걸리,6,720ml,"국내산 쌀, 누룩, 정제수",술빚는전가네
우도땅콩전통주,6,750ml,"쌀, 우도땅콩",조은술 세종
세종청주생막걸리,6,750ml / 1200ml,"쌀, 소맥분",조은술 세종
세종 알밤주,6,750ml,"정제수, 백미, 소맥분, 알밤(국내산), 전분당, 효모, 젖산",조은술 세종
지리산 정담 생쌀 막걸리,6,750ml,"쌀(국내산), 종국, 정제수, 누룩, 효모",운봉주조
영일만친구 막걸리,6,750ml,"국내산 쌀, 물엿, 우뭇가사리, 효모, 조제 종국, 정제효소제, 아스파탐, 젖산",동해명주
얼떨결에,6,920ml,"쌀(국내산), 정제수, 정제효소, 효모, 젖산, 기타과장, 곡자(밀)",동강주조
소양강 생 막걸리,6,750ml/ 1700ml,"백미, 소맥분, 정제수, 팽화미, 아스파탐, 물엿, 정제수","소양강도가(구, 천정양조장)"
국순당 생막걸리 대박,6,750ml,쌀,국순당
송명섭 막걸리,6,500ml,"국내산쌀, 곡자, 정제수",태인합동주조장
선호 생막걸리,6,750ml,"국내산 쌀, 누룩, 효모, 정제효소, 천연감미료, 정제수",김포금쌀탁주영농조합법인
안성맞춤 생막걸리,6,1000ml,"국내산 쌀, 누룩, 효모, 젖산, 정제효소, 정제수",한주양조
양촌 생 막걸리,6,750ml,"팽화미, 소맥분, 정제수, 물엿, 효소, 국 등",양촌양조
김포 막걸리,6,750ml,"쌀, 누룩, 정제수",김포양조
유자향주,6,750ml,"쌀(국내산), 유자(고흥산), 아스파탐",청정영농조합법인
심술6 막걸리,6,500ml,"쌀(국내산), 국(입국), 건조효모, 아세설팜칼륨, 아스파탐",배상면주가
톡쏘는 옥수수동동,6,750ml,"쌀, 정제수, 입국, 옥수수 농축액, 옥수수 추출물 등",우리술
톡쏘는 고구마동동,6,750ml,"쌀, 정제수, 입국, 고구마 농축액, 고구마 추출물 등",우리술
톡쏘는 알밤동동,6,750ml,"쌀, 정제수, 입국, 밤 농축액, 밤 추출물 등",우리술
가평 잣 생막걸리,6,750ml,"쌀, 정제수, 쌀입국, 잣, 효모, 정제효소 등",우리술
손가네 태종대 개똥쑥생막걸리,6,750ml,"정제수, 쌀, 태종대개똥쑥추출물, 입국, 누룩, 정제효소, 이소말토올리고당, 구연산, 아스파탐, 효모",태종대양조
다랭이팜 생막걸리,6,750ml,"지하정제수, 9분도쌀, 찹쌀, 혼합제제 누룩,",농업회사법인 주식회사 다랭이팜
장홍삼 장수 막걸리,6,750ml,"백미,말토올리고당,홍삼분말",서울장수(주)
이화백주,6,940ml,"정제수, 쌀(국내산), 누룩, 설탕, 물엿, 밀, 아스파탐",이화백주
호랑이 생 막걸리,6,750ml,"물, 쌀(국내산),에리스리톨, 효모, 국, 젖산, 합성향료,밀함유",배혜정도가
도구막걸리,6,750ml,"정제수, 밀가루, 효모, 조제종국, 정제효소제, 젖산, 아스파탐, 아세설팜칼륨",동해명주
세오녀탁주,6,750ml,"정제수, 쌀(국내산, 포항쌀), 누룩, 효모, 조제종국, 정제효소제, 젖산",동해명주
동해동동주,6,750ml,쌀100%(포항쌀),동해명주
영탁막걸리,6,750ml,"정제수, 백미(국내산), 입국(쌀, 밀), 물엿, 올리고당, 누룩(밀), 효모, 아스파탐, 아세설팔칼륨",예천양조
지리산 허브잎술 쌀 막걸리,6,750ml,"쌀(국내산), 입국, 정제수, 효모, 곡자, 국내산허브(로즈마리, 라벤다잎줄기추출액, 울금) 등",운봉주조
야관문 쌀 막걸리,6,750ml,"팽화미, 입국, 효모, 곡자(밀), 정제수, 야관문잎 줄기 추출액 등",지리산 운봉주조
동래아들,6,750ml,"정제수, 찹쌀, 맵쌀, 밀누룩",제이케이크래프트
설성 만월 막걸리,6,750ml,"정제수, 유기농쌀국내산, 누룩, 유기농올리고당 등",병영주조장
선운산의 아침 복분자 막걸리,6,750ml,"복분자, 쌀, 효모, 국, 과당, 구연산, 젖산, 정제수",국순당고창명주㈜
생 청주 막걸리,6,750ml,"쌀, 소맥분, 국, 조제종국, 효모, 물엿 등",조은술 세종
산정호수 동정춘막걸리,6,720ml,"국내산 쌀, 누룩, 정제수",(주)농업회사법인 술빚는 전가네
산막 생유 막걸리,6,750ml,"국내산 쌀, 소맥분, 종국, 효모",농업회사법인 신탄진주조(주)
봉하쌀 생막걸리,6,750ml,"쌀(국내산), 정제효소, 젖산, 효모, 아스파탐, 정제수",농업회사법인 (주)봉하마을
병영설성 생막걸리,6,750ml,"쌀(국내산), 효모, 누룩, 정제수",병영양조장
병영설성 동동주,6,1700ml,"쌀(국내산), 전분, 효모, 누룩, 정제수",병영양조장
미생 막걸리,6,750ml,"국내산 쌀, 누룩, 효모, 정제효소, 정제수",김포금쌀탁주 영농조합법인
두유노 (단종),6,600ml,"국내산 찹쌀, 국내산 멥쌀, 누룩, 밀가루",디오케이브루어리
인천 생 소성주,6,750ml,"쌀, 팽화미, 정제수, 국, 효모, 아스파탐, 효소, 이소말토 올리고당",인천탁주
우도 땅콩 전통주,6,750ml,"정제수, 전분당, 백미, 국, 땅콩분, 효모, 젖산 등",조은술 세종
괴산 세종 찰옥수수 전통주,6,750ml,"정제수, 백미, 국, 옥수수분, 전분당, 조제종국, 효모, 조효소제, 치자색소,젖산, 아스파탐, 아세설팜칼륨,허브후레바E, 누룽지향, 구연산",조은술 세종
공주알밤 왕밤주,6,750ml,"공주밤(국내산), 백미(국내산), 아스파탐",사곡양조장
두륜탁주,6,"1,700ml","쌀, 밀가루, 누룩, 당귀",삼산주조장
지장수 호박 생 막걸리,6,750ml,"정제수(지장수), 쌀, 효모, 누룩, 과당 등",낙천
죽향 생 막걸리,6,750ml,"쌀(국내산), 정제효소, 젖산, 효모, 아스파탐, 정제수",농업회사법인 (주)죽향도가
주산지 막걸리,6,750ml,"쌀(국내산), 밀가루, 누룩, 입국, 효모, 고과당, 물엿, 아스파탐, 삭카린나트륨, 정제수",청송양조장
DOK막걸리,6,"1,000ml","정제수, 맵쌀, 찹쌀, 누룩, 효소, 효모",독브루어리
이동 생 쌀 막걸리,6,750ml,"정제수, 백미, 팽화미, 입국, 아스파탐 등",이동주조
은자골 곶감 생 탁배기,6,750ml,"백미, 소맥분, 정제수, 곶감분말, 전분당, 국, 누룩, 효소, 아스파탐 등",은척 양조장
행운 생유자 동동주,6,750ml / 1700ml,"쌀(국내산), 소맥분(미국산), 전분당, 정제수, 유자과즙, 치자, 정제효소, 종국, 효모, 젖산, 아스파탐",성포양조장
오산막걸리,6,500ml,"쌀(국내산), 국, 효모, 정제수",농업회사법인 오산양조㈜
가야 프리미엄 막걸리,6,750ml,김해 쌀(100%),가야양조장
성포 생막걸리,6,750ml,"쌀(국내산), 소맥분(미국산), 전분당, 정제수, 무농약 미나리추출액, 정제효소, 종국, 효모, 아스파탐",성포양조장
레돔 시드르,6,750ml,사과,작은알자스
아이원 막걸리,6,750ml,"쌀, 밀, 입국, 누룩, 정제수",이원양조장
월매 쌀막걸리(캔),6,350ml,"백미, 말토올리고당, 정제수",서울장수㈜
호담 산양산삼 막걸리,6,750ml,"쌀(경기미), 입국, 산양산삼, 정제수, 아스파탐",대농바이오우리산삼
생탁주,6,750ml,"쌀, 올리고당, 사과농축액, 아스파탐, 효모, 정제수",청산녹수
백련 생막걸리 snow (스노우),6,750ml,"백미, 연잎, 정제수, 종국, 효모, 아스파탐, 물엿 등",신평양조장
느린마을 막걸리,6,750ml,"쌀, 국, 효모, 정제수",배상면주가
부안참뽕막걸리,6,950ml,"쌀(국내산) 오디과즙,스테비올배당체,스쿠랄로스",내변산(동진주조)
1932 새싹땅콩+햅쌀/흑미,6,"500ml, 900ml","새싹땅콩+고시히카리 쌀, 새싹땅콩+진도산 흑미",1932포천일동막걸리
소백산 검은콩 막걸리,6,"1500ml, 1200ml, 750ml",쌀,대강양조장
소백산 생 막걸리,6,"1700ml, 750ml",쌀,대강양조장
안양동동주,6,1700ml,"국내산 햅쌀, 국내산 친환경 햇찹쌀",안양주조장
줄포 생막걸리,6,750ml,국내산 쌀,내변산(동진주조)
참동이 허브잎술,6,900ml,"국내산 쌀, 로즈마리 허브",운봉주조
천마이야기 막걸리,6,750ml,국내산 쌀,농업회사법인산들벗(주)
자연담은 복분자막걸리,6,360ml,"국내산 복분자(고창), 정제수",(농)국순당고창명주㈜
미나리 생막걸리,6,750ml,"국내산 쌀, 국내산 무농약 미나리추출액",성포양조장
백년친구 쌀막걸리,6,750ml,국내산 쌀,만수주조영농조합법인
불로생우리쌀막걸리,6,750ml,국내산 쌀,불로생우리쌀막걸리
울금생막걸리 정,6,750ml,"국내산 쌀, 국내산 울금",영덕주조
세종 쌀막걸리,6,"300ml, 750ml",국내산 쌀,조은술 세종
구암대추막걸리,6,1000ml,"쌀, 대추",구암농산
솔청정막걸리,6,,국내산 쌀,조선양조
백년친구 풍기홍삼막걸리,6,"750ml, 900ml","국내산 쌀, 홍삼",만수주조영농조합법인
새송이 쌀막걸리 정,6,750ml,"국내산 쌀, 새송이버섯",영덕주조
톡쏘는 쌀 막걸리,6,950ml,국내산 쌀,우리술
산천어막걸리,6,750ml,국내산 쌀,화천주가
지장수 호박막걸리,6,550ml,"국내산 쌀, 호박",낙천
미담,6,750ml,국내산 쌀,성광주조
고향생막걸리,6,750ml,국내산 쌀,찬우물
솔바람생막걸리,6,500ml,국내산 쌀,조선양조
왕매실 막걸리,6,750ml,"국내산쌀, 매실원액1%",순성왕매실영농조합
삼막걸리,6,500ml,"쌀(국내산100%), 산양산삼(국내산), 올리고당",
이천쌀생막걸리,6,1000ml,국내산 쌀,오성주조장
고향인삼막걸리,6,750ml,"국내산쌀90%, 국내산인삼10%",찬우물
황도배기 햅쌀막걸리,6,900ml,고창 황토배기 햅쌀,우리술
요새로제,6.4,750ml,"사과즙(국산), 오미자, 라즈베리차, 정제수, 효모, 사관산(산도조절제), 탄산가스, 메타중아황산칼륨(산화방지제)",댄싱사이더컴퍼니
복순도가 손막걸리,6.5,935ml,"정제수, 쌀(국산), 곡자(밀), 물엿, 설탕, 아스파탐(감미료,페닐알라닌함유)",복순도가
담은,6.5,750ml,"정제수, 쌀(국내산), 입국, 효모, 기타과당, 정제효소제",포천일동막걸리
별산막걸리,6.5,800ml,"정제수, 쌀(국내산), 입국, 효모, 엿류",양주도가
오미자 생막걸리,6.5,750ml,"정제수, 백미(국내산), 입국(쌀, 밀), 올리고당, 물엿, 허브(유기농), 오미자 2.4%(국내산, 문경로동산), 정제효소, 아스파탐·아세셀펌칼륨(함성감미료, 메닐알라닌 함유)",문경주조
호랑이배꼽,6.5,"350ml, 750ml","평택 쌀(현미 40%, 백미 60%), 누룩, 정제수, 정백당",밝은세상영농조합
고도리 복숭아와인,6.5,750ml,복숭아(영천),고도리 와이너리
토끼구름,6.8,750ml,"정제수, 쌀, 올리고당, 전분, 조효소제, 혼합제제",운곡도가
편백숲 산소막걸리 스파클링,6.8,940ml,"찹쌀, 맵쌀, 누룩",청산녹수
편백숲 산소막걸리 딸기 스파클링,6.8,940ml,"찹쌀, 멥쌀, 누룩, 딸기, 올리고당",청산녹수
오곡 진상주,7,750ml,"쌀, 밀, 보리, 옥수수, 조 등",대강양조장
심술 7,7,330ml,"정제수, 옥수수전분, 기타과당, 백설탕, 주정, 젖산, 과채가공품, 이산화탄소,국,활성건조효모,아세설팜칼륨",배상면주가
볼빨간막걸리 7,7,500ml,"정제수, 찹쌀, 누룩",벗드림양조장
맑은내일 발효 막걸리,7,750ml,"정제수, 쌀, 누룩, 정제효소, 아스파탐",우포의 아침 주식회사
매실 막걸리,7,750ml,"쌀, 매실과즙",백운주가
도깨비술 7,7,750ml,"국내산 멥쌀, 누룩, 효모, 정제수",도깨비양조장
제주감귤주 귤로만,7,750ml,감귤원액(제주),제주와이너리
매실탁테일,7,375ml,"국내산 백미, 매실천연과즙",배혜정도가
매화마름 호랑이 막걸리,7,375ml,쌀,배혜정도가
왕피천을 품은 미소생막걸리,7,750ml,"쌀, 누룩, 정제수",울진술도가
미소 생막걸리,7,750ml,"쌀(국내산), 누룩, 정제수",울진술도가
2017년 햅쌀로 빚은 첫술,7,750ml,국내산 햅쌀,국순당
하얀연꽃 백련생막걸리,7,"375ml, 750ml","국내산 백미, 국내산 백련잎",신평양조장
하얀연꽃 백련막걸리,7,375ml,국내산 쌀,신평양조장
미몽 (단종),7,360ml,"국내산 쌀, 국내산 인삼",국순당
입장탁주,7,750ml,국내산 쌀,(농) 입장주조㈜
대포막걸리,7,425ml,국내산 쌀,배상면주가
빙탄복,7,370ml,복분자,배상면주가
스파클링와인,7.2,750ml,사과,고도리 와이너리
우렁이쌀 손막걸리 DRY,7.5,500ml,"정제수, 찹쌀(국내산), 쌀(국내산), 효모, 종국",양촌양조
우렁이쌀 손 막걸리,7.5,750ml,국내산 쌀,양촌양조
쿨샷 7.5,7.5,300ml,"복분자과실, 주정, 효모, 구연산, 정제수",고창선운산
레돔 내추럴 스파클링 로제와인,7.5,750ml,포도,작은알자스
기다림 25,8,750ml,"국내산 백미, 국내산 찹쌀, 곡자, 정제수",제이케이크래프트
황감찰,8,750ml,"국내산 쌀, 찹쌀, 누룩, 효모, 정제수",운곡도가
걍즐겨,8,600ml,"멥쌀,찹쌀,누룩,프렌치세종,석류,히비스커스",디오케이브루어리
연천 아주,8,750ml,"쌀(국내산), 누룩, 정제수",농업회사법인 연천양조㈜
술아 핸드메이드 막걸리,8,450ml,"국내산 찹쌀, 누룩, 정제수",술아원
동정춘,8,500ml,"쌀, 누룩, 정제수",농업회사법인㈜산수
술헤는밤,8,750ml,"쌀(국내산), 누룩(국내산)",두루전통양조
시향가,8,500ml,"물, 쌀(국내산), 건조토란(국내산), 국, 젖산, 효모, 밀",농업회사법인 시향가(주)
DOK X 메킷나이스,8,650ml,"멥쌀,찹쌀,누룩,생강,고수씨",디오케이브루어리
설하담,8,950ml / 475ml,"국내산 멥쌀 100%, 개량 누룩, 정제수, 이산화탄소",리큐랩주식회사
편백숲 산소막걸리 순수령 8%,8,750ml,"찹쌀, 맵쌀, 누룩",청산녹수
옛날막걸리 古,8,750ml,"국내산쌀, 누룩",국순당
자희향 나비,8,500ml,"찹쌀(국내산), 멥쌀(국내산), 누룩(국내산), 정제수",자희자양
이화주,8,100ml,"쌀(국내산 경기미 100%), 누룩, 정제수",술샘
허니문,8,375ml,벌꿀(국내산),아이비영농조합법인
허니비,8,500ml,벌꿀(국내산),아이비영농조합법인
다래와인 7004S,8,750ml,참다래,오름주가
다래와인 3004,8,375ml,참다래,오름주가
오미로제 연,8,750ml,오미자,오미나라
꿀막걸리,8,750ml,"쌀(국내산), 벌꿀(국내산), 사과농축액, 효모, 정제효소",청산녹수
금정산성막걸리,8,750ml,"백미, 밀(누룩), 정제수",금정산성 토산주
사미인주,8,750ml,"유기농 햅쌀, 벌꿀",청산녹수
오희 스파클링 막걸리,8.5,500ml,"백미, 건오미자, 조효소제, 효모, 정제수",문경주조
기다림 16,9,750ml,"국내산 찹쌀, 국내산 흑미, 곡자, 정제수",제이케이크래프트
아임프리,9,500ml,"정제수, 쌀, 국, 효모",농업회사법인 주식회사 술샘
역전주,9,500ml,"쌀,누룩",바싹불고기
해창 막걸리 9도,9,900ml,"햅쌀, 찹쌀, 물, 누룩",해창주조장
희양산 막걸리 9도,9,750ml,"정제수, 쌀(국내산), 누룩(국내산), 효모",두술도가
술공방 9.0 막걸리,9,500ml,"정제수, 쌀(국내산), 국(쌀, 국내산), 누룩(밀)",아리랑주조
도깨비술 9,9,750ml,"국내산 멥쌀, 누룩, 효모, 정제수",도깨비양조장
정고집 나주배 약주 9%,9,500ml,"쌀, 쌀가루(국내산), 배착즙액(나주산), 정제효소제, 종국, 젖산, 효모",남도탁주
찹쌀생막걸리 9도,9,750ml,"찹쌀(해남산), 멥쌀(해남산), 누룩",삼산주조장
냥이탁주,9,500ml,"정제수, 쌀, 찰보리, 찰수수, 벌꿀, 오미자, 송순, 누룩, 개량누룩",행주산성주가
부자 송산포도,9,375ml,"쌀, 누룩, 포도즙",배혜정도가
우리밀 막걸리 향수,9,700ml,"쌀, 밀, 입국, 누룩, 정제수",이원양조장
헤베,9,330ml,"사과와인 100%(사과과즙: 국내산, 효모, 소르빈산칼륨: 합성보존료)",한국애플리즈
우곡생주,10,750ml,"국내산 쌀, 누룩, 효모, 정제수",배혜정도가
복순도가 탁주,10,935ml,"정제수, 쌀(국산), 곡자(밀)",복순도가
배꽃담은연,10,720ml,"쌀 26.1%, 효모 0.07%, 젖산 0.05%, 정제수 72.31%",술빚는전가네
심술 10,10,330ml,"정제수, 옥수수전분, 기타과당, 백설탕, 주정, 젖산, 과채가공품, 이산화탄소,국,활성건조효모,아세설팜칼륨",배상면주가
술그리다 생탁주,10,500ml,"국내산쌀, 누룩",좋은술
백자주,10,500ml,"국내산 찹쌀, 멥쌀, 잣, 누룩, 정제수",농업회사법인㈜산수
양촌 생 동동주,10,750ml,"정제수, 백미 효소제, 효모 등",양촌양조
백년향,10,500ml,"쌀,누룩,정제수",추연당
만강에 비친 달,10,500ml,"홍천쌀, 단호박, 곡자(밀누룩)",예술주조
삼선,10,500ml,"국내산쌀, 누룩, 정제수",농업회사법인 두루(주)
볼빨간막걸리 10,10,500ml,"찹쌀(국내산), 누룩, 정제수",농업회사법인 (주)벗드림
나 와인,10,500ml,국내산 찹쌀 100%,영농법인에스비케이조합
소백산 청 동동주,10,1700ml,"쌀, 소맥분, 누룩, 주정, 고과당, 대추 등",대강양조장
오드린 베베마루 아내를 위한,10,375ml,캠벨얼리 포도,월류원
복순도가 약주,10,750ml,"쌀, 누룩",복순도가
미인탁주,10,500ml,"찹쌀, 누룩, 정제수",최행숙전통주가
도문대작 생막걸리,10,750ml,"강릉 쌀, 누룩, 갯방풍나물, 정제수",방풍도가
시인의마을,10,700ml,"쌀(국내산), 누룩, 정제수",이원양조장
부자 10%,10,375ml,경기미 100%,배혜정도가
감그린 아이스와인,10,375ml,감(국내산),청도감와인
시나브로 로제와인,10,500ml,포도(캠벨얼리),불휘농장
베베마루 캠벨로제 스위트,10,375ml,포도(캠벨얼리),월류원
고도리 화이트와인 스위트,10.5,750ml,거봉포도(영천),고도리 와이너리
고도리 청수 와인,10.5,750ml,포도(청수),고도리 와이너리
고도리 화이트와인 드라이,10.5,750ml,거봉포도(영천),고도리 와이너리
홍시와인,10.5,375ml,"감열매(국내산), 효모, 메타중아황산칼륨, 이산화황",젤코바와이너리
산머루와인 달콤한 스위트,10.5,750ml,산머루,
매아랑,10.7,750ml,국내산 매실,하동매실 영농조합법인
붉은 원숭이,10.8,375ml,"쌀(국내산 경기미 100%), 누룩, 홍국, 정제수",술샘
술취한 원숭이,10.8,375ml,"쌀(국내산 경기미 100%), 누룩, 홍국, 정제수",술샘
도깨비술 11,11,750ml,"정제수, 쌀, 국,효모",도깨비양조장
백운 복분자 와인,11,360ml,"쌀, 토종 복분자과즙",백운주가
제주몬순커피주,11,200ml,"정제수, 설탕, 커피생두, 효모",제주커피수목원
커피와인 톡시(중복-증류주),11,200ml,커피생두 발효액,제주커피수목원
커피와인 톡시,11,200ml,커피생두 발효액,제주커피수목원
김포약주(중복),11,750ml,"소맥분, 옥전분",김포양조
대통주,11,360ml,"국내산 쌀, 국내산 매실농축액, 국내산 대나무잎",추성고을
김포약주,11,750ml,"옥수수 전분, 밀, 국, 효모, 젖산, 효소제, 정제수",김포양조
니모메,11,375ml,"쌀(국내산), 감귤 진피, 정제수",제주샘주
홍천강 탁주,11,500ml,"홍천 쌀, 정제수, 국(밀 누룩)",예술주조
추사 블루베리 와인,11,375ml,"예산블루베리 60%(국내산), 설탕, 구연산, 무수아황산, 소르빈산칼륨",예산사과와인
한스오차드 사과와인,11,750ml,사과,㈜한국애플리즈
프리미엄 애플와인 한스오차드,11,750ml,국내산 사과,㈜한국애플리즈
뱅꼬레 화이트와인,11,375ml,양조용포도(경북 영천),한국와인
나루 생 막걸리 11.5도,11.5,500ml,"정제수, 쌀(국내산), 국, 효모(밀함유)",한강주조
젤코바 스페셜와인,11.5,"375ml, 500ml, 750ml","국내산 산머루, MBA포도",젤코바와이너리
뱅꼬레 로제와인,11.5,375ml,양조용포도(영천),한국와인
산머루 크라테 로제,11.5,375ml,산머루,수도산와이너리
산머루 크라테 드라이,11.5,750ml,산머루,수도산와이너리
산머루 크라테 스위트,11.5,750ml,산머리(국내산),수도산와이너리
"코이버펑크, 샤르도네 세미용 2018",11.5,750ml,"샤르도네 포도품종, 세미용 포도품종, 실바너 포도품종",코이버펑크
기다림 34,12,500ml,"국내산 멥쌀, 국내산 찹쌀, 곡자, 정제수",제이케이크래프트
여인,12,500ml,"구멍떡, 누룩, 찹쌀",중원당
오매백주,12,500ml,"쌀(국내산), 국, 효모, 정제수",농업회사법인 오산양조(주)
만남의장소 (단종),12,750ml,"멥쌀, 밀누룩, 꿀, 건포도, 레몬, 생강, 후추, 효모",구름아 양조장
씨(C) 그린막걸리,12,500ml,"쌀, 물, 누룩, 케일, 개똥쑥",씨(C) 막걸리
씨(C) 옐로막걸리,12,500ml,"쌀, 물, 누룩, 당근, 레몬그라스",씨(C) 막걸리
씨(C) 막걸리 시그니처 큐베,12,500ml,"쌀, 물, 누룩, 노간주나무열매, 건포도",씨(C) 막걸리
구름을 벗삼아,12,750ml,"백미(국내산: 지역햅쌀 100%), 우리밀 전통누룩",문경주조
연오랑탁주,12,750ml,"정제수, 쌀(국내산, 포항쌀), 누룩, 효모, 조제종국, 정제효소제, 젖산",동해명주
풍정사계 추(秋),12,500ml,풍정사계 추(秋),화양
호모루덴스,12,500ml,"쌀, 누룩, 정제수",산수양조장
문삼이공(moon320) 잣 주,12,500ml,"찹쌀19.02%, 멥쌀13.16%, 누룩3.3%, 잣1.02%, 정제수63.5%",마마스팜
자희향,12,500ml,"찹쌀(국내산), 멥쌀(국내산), 누룩(국내산), 정제수",자희자양
찹쌀 생막걸리 12도,12,750ml,"찹쌀, 멥쌀, 누룩",삼산주조장
젤코바 프리미엄 와인,12,"500ml, 750ml","국내산 산머루, MBA포도",젤코바와이너리
라이코펜 토마토와인,12,"350ml, 500ml",국내산 토마토,토마토와인주식회사
연천 연주,12,500ml,"쌀(국내산), 누룩, 정제수",농업회사법인 연천양조(주)
성읍민속마을 오메기술,12,375ml,"좁쌀, 누룩",술다끄는집
맑은내일 우포,12,"325ml, 500ml","국내산 쌀, 옥수수전분, 효모, 누룩, 양파, 정제수",우포의아침
다래와인 7004D,12,750ml,참다래,오름주가
그랑티그르 M1988,12,750ml,"캠벨얼리 포도, 오미자",월류원
그랑티그르 CE2002,12,750ml,캠벨얼리 포도,월류원
여포의 꿈 레드,12,750ml,국내산 포도,여포와인농장
시나브로 레드 드라이,12,750ml,캠벨얼리,불휘농장
시나브로 청수 화이트,12,750ml,청수 100%,불휘농장
백련 맑은술,12,375ml,"백미, 정제수, 물엿, 과당, 누룩, 백련잎, 누룩 등",신평양조장
혼디주,12,330ml,"제주산감귤, 백설탕, 구연산, 무수아황산",㈜시트러스
스파클링와인 오미로제 결,12,750ml,오미자,오미나라
샤토미소 랑,12,375ml,청수,도란원
초선의 꿈,12,375ml,국내산 포도,여포와인농장
여포의 꿈 (화이트),12,750ml,국내산 포도,여포와인농장
샤토미소 레드 스위트,12,750ml,"포도, 산화방지제, 효모, 설탕 등",도란원
추사 애플와인,12,375ml,사과(국내산),예산사과와인
감그린 스페셜,12,750ml,감(국내산),청도감와인
감그린 레귤러,12,750ml,감(국내산),청도감와인
스타베리오디,12,500ml,양조용포도(영천),한국와인
추사 로제,12,375ml,사과,예산사과와인
아이스 375,12,375ml,포도,고도리 와이너리
로제 와인 750,12,750ml,친환경 GAP 거봉포도,고도리 와이너리
레드 와인 500,12,500ml,친환경 거봉 포도,고도리 와이너리
복분자음,12,375ml,"복분자(국내산), 정제수",배상면주가
감악산 산머루주,12,360ml,"머루원액 78.5%(경기 파주), 주정(국내산, 수입산)",
고도리 레드와인 스위트,12,750ml,MBA 머루포도(영천),고도리 와이너리
뱅꼬레 아이스와인,12,375ml,양조용포도(영천),한국와인
뱅꼬레 레드와인,12,375ml,양조용포도(영천),한국와인
두레앙와인,12,750ml,거봉포도,두레양조
